fpid,doi,impact_matrix,factor1_title,factor1_direction,factor2_title,factor2_direction,factor3_title,factor3_direction,factor4_title,factor4_direction,factor5_title,factor5_direction,factor6_title,factor6_direction,factor7_title,factor7_direction,factor8_title,factor8_direction
Mulching,10.1016/j.jclepro.2020.121470,GHG emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mulching,10.1016/j.jclepro.2020.121470,Soil biological quality,Crop type,Wheat farming tended to result in larger effect sizes for MBC than maize farming. Larger effect sizes for EEA were detected in Potato.,Plant density,High planting densities tended to result in larger effect sizes for MBC than medium/low planting density. Medium densities tended to result in larger effect sizes for EEA.,Mineral N fertiliser amount applied,"A 100–200 kg ha−1 N application level displayed greater potential for stimulating microbial biomass carbon, compared with other levels. Effects sizes for EEA were higher under the <100 kg N ha-1 category.",Soil texture,Higher effects sizes on EEA in the ‘Sandy loam’ soil texture compared to others.,Climate,"Mean growing temperature was the most influential environmental factor determining mulching effect sizes on both MBC (effect size: ‒2.1%, P = 0.073) and EEA (effect size: 2.1%, P < 0.001).",NA,NA,NA,NA,NA,NA
Water-saving irrigation practices in non-flooded lands,10.1016/j.jclepro.2020.122307,Water footprint (LCA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enhanced efficiency fertilisers; Mulching,10.1016/j.jclepro.2020.123835,Air pollutants emissions,Mineral N fertiliser amount applied,"The efficiency of mulch on reducing ammonia volatilisation increases by 81.0, for wheat when increasing the urea application rate from class 2 to 4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic fertilisation,10.1016/j.jclepro.2020.124019,GHG emissions,Organic fertiliser type,"Stronger impact of manure on CH4 emissions for poultry, compared to pig and cattle manure;",Organic fertiliser application rate,Stronger effect in higher application rates.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cover and catch crops; Crop residue management; Soil amendment with biochar; No tillage and reduced tillage,10.1016/j.jclepro.2020.125736,Carbon sequestration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock feeding techniques,10.1016/j.jclepro.2021.128130,Animal production,Animal weight,"Moreover, increased pig body weight (BW) resulted in lower AID of GE but higher AHD of GE (p<0.05 for both).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock feeding techniques,10.1016/j.jclepro.2021.128130,Nutrient excretion,Animal weight,"Moreover, increased pig body weight (BW) from 22.9 kg to 54.4 kg also resulted in increased fecal nitrogen output according to the results of backward elimination regression (P = 0.024). Similar observation for urine N output (p<0.001) and the ratio between both fecal and urine outpus (p=0.009).",Dose,Highest rate of dietary crude protein in the feed increased urine N output (P=0.036),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic farming systems,10.1016/j.jenvman.2012.08.018,Acidification (LCA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic farming systems,10.1016/j.jenvman.2012.08.018,Air pollutants emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic farming systems,10.1016/j.jenvman.2012.08.018,Carbon sequestration,Input of organic matter,NA,Presence of leys in the rotation,"Organic farms in the data had on average 14% more leys in the rotation, although there was no correlation between ley area and soil organic matter content (Spearman's Rho = 0.08, N = 47, P = 0.58).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic farming systems,10.1016/j.jenvman.2012.08.018,Crop yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic farming systems,10.1016/j.jenvman.2012.08.018,Energy use (LCA),Production of mineral fertilisers,"Higher energy inputs in conventional farming were mainly due to the high energy needed for production and transport of non-organic fertilisers, especially synthetic nitrogen fertilisers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic farming systems,10.1016/j.jenvman.2012.08.018,Eutrophication (LCA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic farming systems,10.1016/j.jenvman.2012.08.018,GHG emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic farming systems,10.1016/j.jenvman.2012.08.018,Global warming potential (LCA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic farming systems,10.1016/j.jenvman.2012.08.018,Land use (LCA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic farming systems,10.1016/j.jenvman.2012.08.018,Nutrient leaching and run-off,Nitrogen input,Nitrogen input correlates positively (but effect not statistically significant) with nitrogen losses.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic farming systems,10.1016/j.jenvman.2015.07.021,Energy use (LCA),Type of product,NA,Cropping pattern,NA,Data sample size,Sample sizes of more than 100 were significantly associated with the EE superiority of organic farming (p = .006) compared to sample sizes of 1–20.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic farming systems,10.1016/j.jenvman.2015.07.021,Global warming potential (LCA),Product/area unit,The logistic regression results indicated that superior GHGE effects for organic farming were highly dependent on the measurement unit. Output-based (ratio/ton) outcome measures significantly reduced the superiority of GHGE effects for organic farming (p = .000) in comparison to area-based (ratio/ha) measures.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soil amendment with biochar,10.1016/j.jenvman.2018.05.004,Heavy metals pollution,Experimental conditions,"Plant Cu concentrations were reduced only in pot experiments, without significant effects in field studies overall. The effects of biochar on plant Pb concentrations were greater in pot experiments than under field conditions.",Soil pH,"The effect of biochar on Pb uptake was highly dependent on soil pH, with an average decrease of 40, 44, and 20% in acid, neutral, and alkaline soils, respectively. In contrast, plant uptake of Cu in biochar amended soils was inversely related to pH, and was greatest in alkaline soil (39%) as compared to neutral (23%) and acid soils (20%). Plant Zn concentration showed the greatest decrease in response to biochar in neutral pH soils (34%), as compared to acid soils (8%), but was not decreased in alkaline soils.",Soil texture,There were greater reductions in plant Cd concentrations in medium textured soil than in fine textured soil. Plant Pb concentrations underwent greater reductions in coarse textured soil than in medium or fine textured soil amended with biochar.,Soil organic carbon content,"There were greater decreases of plant heavy metal concentrations in soils containing higher levels of SOC than in soils with low SOC. With respect to Cd, the effects of biochar on reduction in plant tissue Cd concentrations were greater in soils having medium SOC levels (15–30 g kg−1) than in soils with low SOC levels (<15 g kg−1). Plant Pb concentrations were reduced by 30 and 54%, respectively in soils with low SOC content and high SOC content (>30 g kg−1). Plant Zn concentrations were not affected by a biochar amendment in soils with low SOC content, but were reduced in soils with medium and high SOC levels.",Biochar feedstock,"The application of manure biochar resulted in the greatest reduction of plant Cd concentration (73%), which is superior to the other types of biochars evaluated. Agricultural residue biochar, wood biochar, and green waste biochar were also effective for decreasing plant Cd uptake (32–41%). In contrast, there was no significant change in plant Cd concentrations grown in sewage sludge biochar amended soils. Animal manure derived biochar reduced plant Pb concentration by 65%, wood biochar reduced Pb concentrations by 30%, whereas, the effects of other biochars were intermediate (39–41%). Cu concentrations in plants were reduced by the application of agricultural residue biochar (33%), wood biochar (19%), manure biochar (35%), green waste biochar (33%), and sewage sludge biochar (13%), respectively, as compared to un-amended soil. Plant Zn concentrations were only reduced by agricultural residue biochar (30%) and green waste biochar (33%).",Biochar pyrolysis temperature,"Biochars produced at 450–500°C are preferred for effectively reducing plant uptake of Cd, Pb, Cu, and Zn.",Biochar pH,"Higher pH biochars resulted in greater reductions in plant Cd concentrations. Plant tissue Cd reductions were 18, 35, and 49%, respectively, for biochars grouped as having pH of <8.5, 8.6–10, and >10. The pH of the biochars likewise affected Pb and Cu concentrations in plants, while there were and were no differences among the three biochar pH groups for Cu and Pb.",Biochar application rate,"Biochar application at high levels (>3%) resulted in the largest reductions in plant heavy metal concentrations. Plant Cd concentrations were reduced by 26, 38, and 51% at application rate of ≤1%, 1.1–3%, and >3%, respectively. Likewise, plant Pb concentrations were reduced by 28, 37, and 50%, respectively at low, moderate, and high biochar application rates."
Soil amendment with lime and gypsum,10.1016/j.jenvman.2018.06.013,Carbon sequestration,Climate,In the temperate zone: the negative effect of liming decreased with increasing Mean Annual Temperature and increased with increasing Mean Annual Precipitation.,Liming duration,"Generally, an increase in the duration of liming and fertilizer addition was associated with a greater decline in SOC stock.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conservation agriculture systems,10.1016/j.jenvman.2020.110773,Carbon sequestration,crop type,legume-based cropping system was found to be higher than that of the rice-wheat system,soil type,"aerobic soil conditions encourage the carbon sequestration potential of rice crop whereas anaerobic soils deter them, thus the rice crop will always decrease the carbon sequestration potential of the system in flooded or submerged soil conditions. Compared to the sandy clay loam and silty clay loam, carbon sequestration potential in clay loam soil was found significantly higher.",Duration of treatment,"number of years of CA in a field, was found to be a favouring factor for carbon sequestration due to improvement in soil quality with the duration of the experiment.",irrigation,irrigation and residue retention were also the accelerating factors for higher carbon sequestration under CA practices over the conventional tillage.,residue retention,irrigation and residue retention were also the accelerating factors for higher carbon sequestration under CA practices over the conventional tillage.,NA,NA,NA,NA,NA,NA
Conservation agriculture systems,10.1016/j.jenvman.2020.110773,Water use,crop type,"the relative difference in consumption of water was significantly lesser in maize, wheat, legumes and other crops. The advantage of lesser water use was highest in rice crop as significant amount of water is saved for its cultivation under CA practices.",soil type,"in rice crop higher water saving was found in aerobic soil condition as compared to the anaerobic soils. The difference in water use was maximum in sandy loam, followed by sandy clay loam and silty clay loam and the least in clay loam.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1016/j.jnc.2018.08.008,Biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1016/j.jnc.2020.125863,Biodiversity,Altitude,"Overgrazing vs traditional systems: elevation has positive effects for arthropods richness of traditional in hills (-1.456 ± 0.323, k=11) and lowlands (−0.623 ± 0.188, k=13) and no consistent difference in mountains (0.092 ± 0.256, k=13). Traditional systems were also positive for arthropods density in hills (−1.155 ± 0.481, k=13), while a similar but non-significant pattern was evident in lowlands (−0.432 ± 0.407, k=10) and mountains (0.334 ± 0.494, k=28).",Artropod order,"1) In abandonment vs traditional systems: a greater number of species of Araneae, Coleoptera, and Lepidoptera was found in abandoned pastures. Conversely, Hymenoptera, Diptera, and Orthoptera had a range of values comprising zero, with the former taxon being statistically different from Araneae and the others marginally not significantly; 2) In abandonment vs overgrazing: in arthropods richness, Araneae and Orthoptera had positive mean values that were close to zero, while Coleoptera, Diptera, Lepidoptera and Hymenoptera had definitely higher values in abandonment (all p < 0.001 except Hymenoptera p < 0.05); 3) In abandonment vs overgrazing:  in arthropods richness, Araneae and Orthoptera had positive mean values that were close to zero, while Coleoptera, Diptera, Lepidoptera and Hymenoptera had definitely higher values in abandonment (all p < 0.001 except Hymenoptera p < 0.05). A similar pattern was evident in arthropods density; 5) Orders differed only in density values, with higher numbers of Collembola in overgrazing and higher numbers of Orthoptera in traditional systems; the other taxa had negative mean values, though close to zero.",Geographical area,"1) In abandonment and overgrazing: previously grazed pastures were found with a higher number of species in southern and western Europe, while grand mean intervals in northern areas contained zero (not significant); 2) In overgrazing vs traditional: differences in arthropods richness was affected by geographical areas: in Western Europe, traditional systems were definitely better (10 studies in hills, 6 in lowlands), almost better in Northern Europe (1 hills, 7 lowlands, 1 mountains), whilst the mean difference was close to zero in Southern Europe (12 mountains shrublands).",Time from abandonment,Relatively long term abandoned sites (20 years) showed larger differences in arthropods richness from overgrazed ones.,NA,NA,NA,NA,NA,NA,NA,NA
Green manure; Cover and catch crops,10.1016/j.landusepol.2019.104204,Carbon sequestration,No factor reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green manure; Cover and catch crops; Leguminous crops,10.1016/j.landusepol.2019.104204,Crop yield,No factor reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cover and catch crops; Leguminous crops,10.1016/j.landusepol.2019.104204,Nutrient leaching and run-off,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green manure; Cover and catch crops,10.1016/j.landusepol.2019.104204,Pests and diseases,No factor reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green manure; Cover and catch crops,10.1016/j.landusepol.2019.104204,Soil biological quality,No factor reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cover and catch crops; Green manure; Leguminous crops,10.1016/j.landusepol.2019.104204,Soil nutrients,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cover and catch crops,10.1016/j.landusepol.2019.104204,Soil water retention,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock housing techniques,10.1016/j.livsci.2018.03.012,Animal production,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock feeding techniques,10.1016/j.livsci.2021.104551,Animal production,Animal breed,"Holstein cows showed an increase in DMI (WMD= 1.66 kg/d; P = 0.003) when receiving molasses in the diets. However, the inclusion provided a reduction in the milk protein yield (WMD= −0.02 kg/d; P = 0.020) of the animals. As for the effect of including molasses in the diet for Jersey animals, only an increase in milk protein was observed (WMD=0.81 g/kg; P = 0.034).",Days in milk (dairy cows),"The inclusion of molasses in the diet for cows in the initial (≤100 days in milk) and middle stage of lactation (100 to 200 days in milk) increased DMI (WMD= 2.39 kg/d; P<0.0001 and WMD=0.41 kg/d; P = 0.021, respectively). Animals that received molasses during the initial lactation period showed an increase in the contents of SNF (WMD=0.54 g/kg; P<0.0001). However, when cows were fed with molasses in the diet during the middle lactation period, there was a reduction in the concentration of MUN (WMD= −0.53 mg/dL; P = 0.005).",Dose,"For the covariate level of concentrate in the diet, molasses inclusions in diets with up to 600 g/kg diet had no effect on DM digestibility (P> 0.05). However, the inclusion in diets with 400 - 600 g, and 600 - 800 g/kg concentrate reduced the body weight change of the animals (WMD= −0.004 kg; P = 0.057, and WMD= −0.01 kg; P = 0.022, respectively).",Form in the diet,"The type of molasses (Fig. 7) used in the studies also affected the response to the inclusion of molasses in the diet for dairy cows. Liquid molasses (sugarcane) increased the solid non-fat in milk (WMD= 0.72 g/kg; P = 0.001) of the animals. When evaluating the effect of the covariate “molasses in diet” (Fig. 8), inclusions ≤30, and between 60 and 90, and 90 to 120 g molasses/kg in the diet increased the animals’ DMI (WMD= 1.61 kg/d; P = 0.026, 2.03 kg/d; P = 0.013, and 0.01 kg/d; P = 0.011, respectively).",NA,NA,NA,NA,NA,NA,NA,NA
Livestock feeding techniques,10.1016/j.livsci.2021.104551,Nutrient excretion,Form in the diet,No effect of liquid molasses but positive effect of dried molasses on nitrogen urea urine excretion,Dose,"Positive effect of diets with 9-120 g/kg molasses, no effect below 90 g/kg.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock feeding techniques,10.1016/j.livsci.2021.104707,Animal production,Feed's content in condensed tannins,"Low doses of condensed tannin (CT) (from 7 to 12 g/ kg DM) did not affect DMI; however, increasing the dose of CT (> 25 g/ kg DM) reduced DMI in small ruminants (quadratic effect R2 = 0.18; P < 0.01). Low doses of CT (from 7 to 12 g/ kg DM) did not affect BW gain, however increasing the dose of CT (> 18 g/ kg DM) reduced BW gain in small ruminants (quadratic effect R2 = 0.20; P < 0.01). Considering the CT concentration, results from this meta-analysis suggest that the inclusion level of SL in diet should not exceed 60% (from 19 to 25 g/ kg DM condensed tannins) to prevent negative effects in BW gain, ADG, and DMD.",Dose,"Similarly, increasing the inclusion level of SL in the diet linearly reduced DMD (R2= 0.27; P < 0.01).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock feeding techniques,10.1016/j.livsci.2021.104707,GHG emissions,Feed's content in condensed tannins,Increasing the concentration of tannins in the diet decreased CH4 emissions (R2= 0.21). The dose-response analysis suggested that inclusion levels from 30 to 40% (from 7.5 to 12 g/ DM of CT) in the diet reduced CH4 emissions.,Dose,Increasing the inclusion level of SL in the diet linearly reduced CH4 emissions (R2 = 29.4).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop rotation; Leguminous crops,10.1016/j.pedobi.2016.04.001,Soil biological quality,Microbial analysis method,Pyrosequencing and biochemical fingerprinting studies reported significant increases in microbial richness whereas molecular fingerprinting studies reported significant increases in microbial diversity.,Duration of experiment,"Shorter study trials produced significant increases in microbial diversity, while longer studies resulted in increases in microbial richness.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop residue management; No irrigation,10.1016/j.resconrec.2021.105889,Plant nutrient uptake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic farming systems,10.1016/j.scitotenv.2013.08.098,GHG emissions,Per unit of field area: Positive; Per unit of product: Negative.,"Crop rotation, total N inputs (for emissions from conventionally managed soils), concentration of soil N and soil organic carbon, soil texture (clay contents)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fallowing; Grassland conservation and restoration; No tillage and reduced tillage,10.1016/j.scitotenv.2016.05.067,Carbon sequestration,Abandonment time,"In the first 16 years, SOC in ex-arable land increased evenly but subsequently stagnated at high level.",Climate,"The proportional gain of carbon was positively correlated with the aridity index of the study site. It increased from 12.5% in humid to 31.7% in semi-arid climate. Absolute values, however, did not differ distinctively.",Initial SOC stock,"The effect of the initial SOC stock on SOC change was negative for both proportional change as well as absolute values. SOC stocks were significantly higher in ex-arable land compared to arable land with initial SOC stocks of 0–25 and 25–50 t ha−1. In contrast, land-use abandonment had no significant effect on SOC when the initial SOC stock was already N50 t ha−1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Intercropping; Leguminous crops,10.1016/j.scitotenv.2017.10.024,Cropping system productivity,Crop/cultivar combinations; Species combination,"In the 23 most common combinations (reported for more than ten occasions in the dataset), 18 had an LER significantly greater than one, but one of them also had an LER significantly lower than one (sunflower/corn); Although certain crop combinations
seemed to offer greater advantages compared to others, when looking to the variability within the most abundant combinations, i.e.,
soybean/Maize, cowpea/sorghum, cowpea/Maize and common bean/Maize
intercropping systems, it is clear that experimental settings
also influence the outcomes of intercropping.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soil amendment with biochar,10.1016/j.scitotenv.2017.10.222,Heavy metals pollution,Biochar feedstock,"The largest number of studies were completed using wood and herbaceous feedstocks for different TEs, and in both cases, the effects were significant for Cd, Ni, and Mn. In particular, the effect of biochar produced from herbaceous feedstocks was more pronounced on Mn (− 44.43%) than the other TEs and biochar produced from wood feedstocks produced the same results on Cr (− 49.43%). Biochar produced from biosolids and lignocellulosic waste produced more significant reductions in Co (− 67.52%) and Cd (− 43.09%) than the other elements. In addition, biochar produced from manures significantly increased the Zn concentration by 91.32%, whereas it decreased the Cd concentration (− 65.37%) in plants. biochar produced from manure significantly decreased the Pb concentrations in plants by − 85.32% [− 92.13% − 72.60%].",Biochar pyrolysis temperature,"Biochar produced at higher temperatures (> 600 °C) had more pronounced effects on Ni (− 83.42%) and Mn (− 81.23%) than biochar produced at different pyrolysis temperatures. The largest number of studies were performed using a temperature range (i.e., 400–500 °C), and the impacts were significant for Zn, Cd, and Ni.",Type of experiment,"The effects of biochar addition on all field studies were scarcely significant, whereas the opposite results were observed for the pot studies",Soil pH,The responses of Mn and Co to biochar were significantly affected by the soil pH (P < 0.01).,Time scale,Experimental duration affected the response of Zn to biochar.,NA,NA,NA,NA,NA,NA
Grassland management,10.1016/j.scitotenv.2017.10.229,GHG emissions,N fertiliser application rate,"The effect size of soil denitrification increased exponentially with increasing N application rates in grasslands (r2 =0.96, P = 0.013). However, at N application rates N 250 kg N ha−1, there was only a small effect on soil denitrification.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1016/j.scitotenv.2018.01.104,Carbon sequestration,Soil bulk density,Soil bulk density of cropland was significantly decreased when it converted to agroforestry. The decrease of soil bulk density content led to the increase of soil infiltration rates.,soil organic matter,Soil organic matter of cropland was significantly increased when it converted to agroforestry.The increase of organic matter content led to the increase of soil infiltration rates.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1016/j.scitotenv.2018.01.104,Soil physico-chemical quality,Soil bulk density,Soil bulk density of cropland was significantly decreased when it converted to agroforestry. The decrease of soil bulk density content led to the increase of soil infiltration rates.,soil organic matter,Soil organic matter of cropland was significantly increased when it converted to agroforestry.The increase of organic matter content led to the increase of soil infiltration rates.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No tillage and reduced tillage,10.1016/j.scitotenv.2018.02.238,Carbon sequestration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enhanced efficiency fertilisers,10.1016/j.scitotenv.2018.05.356,GHG emissions,Soil pH,No effect of NBPT for ph < 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soil amendment with biochar,10.1016/j.scitotenv.2018.06.231,Soil biological quality,Soil type,The response ratios of soil F/B were negatively correlated with soil pH (P < 0.05). Nutrient supply (by biochars and soils) and soil pH interactively influenced the F/B ratios. The SOC was negatively correlated with the response ratios of activities of fungi (P < 0.05) and actinomycetes (P < 0.01).,Biochar application rate,"Response ratios of soil G+/G− were positively correlated with biochar load (P < 0.001). Biochar load were positively correlated with the response ratios of activities of bacteria (P < 0.01), the total soil microorganisms (total PLFA), fungi, and actinomycetes (P < 0.001).",Fertilisation,Biochar addition combined with fertilization greatly increased soil G+/G− by 17%,Biochar pyrolysis temperature,The response ratios of bacteria and fungi were negatively correlated with biochar pyrolysis temperature (P < 0.01),Biochar specific surface area,Biochar SSA were positively correlated with the response ratios of the total PLFA (P < 0.01).,Time scale,"The response ratios of activities of the total soil microorganisms (total PLFA), and actinomycetes were positively correlated with the study duration (P < 0.05)",NA,NA,NA,NA
Mulching; Intercropping; Agroforestry practices and systems; Landscape features; No tillage and reduced tillage,10.1016/j.scitotenv.2018.07.124,Soil erosion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water-saving irrigation practices in flooded lands; Soil amendment with biochar,10.1016/j.scitotenv.2018.08.392,Crop yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water-saving irrigation practices in flooded lands; Soil amendment with biochar,10.1016/j.scitotenv.2018.08.392,GHG emissions,GHG emissions,That indicated the decreases in CH4 emission may be observed with increases in N2O emission at area- or yield-scaled.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mulching,10.1016/j.scitotenv.2018.09.105,Crop yield,Crop type,"Among the four types of crop, the mean effect of plastic mulching on crop yield (30.62%) was highest for potato.",Plastic film residue,"The meta-analysis results showed that yield of different crops decreased to different degrees with increases in the amount of residual plastic film. When the residual amount of plastic film was 0–240 kg/ha, the effects on crop yield were not significant. However, when the residual amount of plastic film was over 240 kg/ha, the yield of three crops was significantly reduced.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mulching,10.1016/j.scitotenv.2018.09.105,Water use,Crop type,"Among the four types of crop, the mean effect of plastic mulching on WUE (30.34%) was highest for potato.",Plastic film residue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soil amendment with biochar,10.1016/j.scitotenv.2018.10.060,GHG emissions,Soil organic matter content,"In soils with SOC concentrations >24 g kg−1 and total N concentrations >3 g kg−1, the N2O emission reduction was smallest and not significant.",Soil type,"Man-made soils (i.e. Anthrosols represented in this study exclusively by paddy soils), organic soils (i.e. Histosols), sandy soils (i.e. Arenosol), and soils typical for steppe and sub-humid temperate climate (i.e. Luvisol) showed reduced N2O emissions after biochar applications",Biochar application rate,Low biochar application rates of <10 Mg ha−1 did not affect N2O emissions.,Fertilisation management,"N2O emissions remained unaffected for soils managed by application of biochar in combination with organic fertilizers. Compared to unfertilized soils, the N2O emission mitigation potential of biochars was larger for fertilized soils (reduction of −46% for mineral fertilizer [e.g. NH4NO3, (NH4)2SO4, KNO], −34% for urea, −32% for mixtures of organic and mineral fertilizers, and −27% for unfertilized soils. For each N application rate, biochar induced a reduction of N2O emissions.",Crop type,"Except for perennial crops (e.g. fruit trees), N2O emissions at least tended to be reduced in all agronomic experiments (i.e. arable crops with −45% and horticultural cultures with −32%) that cultivated cereals (−31%, P < 0.05), maize (−31%, P = 0.17), rice (−40%, P < 0.05), vegetables (−30%, P = 0.07), and other crops (−35%, P = 0.18).  For biochar applications to grassland N2O emissions were not affected.",NA,NA,NA,NA,NA,NA
Soil amendment with biochar,10.1016/j.scitotenv.2018.10.060,Nutrient leaching and run-off,Soil texture,Only coarse textured soils (i.e. sand) showed a reduced leaching of NO3−.,Soil type,"Soil NO3− leaching was exclusively reduced in Cambisols (i.e. soils of limited age), and semi-arid soils (e.g. Calcisol, Solonetz)",Biochar application rate,"Low biochar application rates of <10 Mg ha−1 increased NO3− concentration in soils. Larger biochar application rates (e.g., >10–20 Mg ha−1) tended to reduce NO3− leaching.",Fertilisation management,"NO3- leaching remained unaffected for soils managed by application of biochar in combination with organic fertilizers. Leaching of NO3− was reduced by biochar in unfertilized soil and when the fertilizer application rate was below 150 kg N ha−1. Leaching of NO3− progressively increased in response to increased N application rates (i.e. -26% for <150 kg N ha−1, −7% for 150–300 kg N ha−1, 46% for >300 kg N ha−1). Hence, over all N fertilizer application rates, the NO3− leaching reduction was not significant (i.e. +3% with mineral fertilizer, −7% with organic fertilizer, and −35% with organo-mineral fertilizer).",Crop type,For biochar applications to grassland NO3− leaching were not affected.,NA,NA,NA,NA,NA,NA
Grazing management,10.1016/j.scitotenv.2018.11.082,Carbon sequestration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1016/j.scitotenv.2018.11.082,GHG emissions,Duration of treatment,"For the experiments <5 years, grazing did not affect three gas fluxes, but they were reduced above 5 years. Similarly, soil CH4 and N2O fluxes were more sensitive than CO2 flux to grazing duration.",Precipitation,"When precipitation was lower than 400 mm, soil GHG fluxes were decreased by grazing but not above 400 mm. Grazing-induced responses of soil N2O emission showed a greater sensitivity to less precipitation than CO2 emission and CH4 uptake.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1016/j.scitotenv.2018.11.082,Grassland production,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1016/j.scitotenv.2018.11.082,Soil nutrients,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1016/j.scitotenv.2018.11.082,Soil water retention,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
