"fpid","doi","population","intervention","intervention_matrix","control","control_matrix","metric","metric_positive_effect","effect_size","impact_matrix","impact_positive_effect","positive","negative","no_effect","uncertain","results_level","results_qtype","results_statistics","results_1","results_2","results_3","results_nb_of_trials","results_nb_of_papers","results_threshold","i_c_shift","metric_std2","metric_unit","sustainability_outcome","f_pclass_tier0","policy_class_codes","policy_class_names","scale","population_name1","population_value1","population_name2","population_value2","population_name3","population_value3","population_name4","population_value4","population_name5","population_value5","population_name6","population_value6"
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","Animal and feed management","Animal and feed management","No feed management","Animal and feed management","Weight gain","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Animal production","increase",1,0,0,0,"Grand mean","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","16.7","5.0999999999999996","28.7","53","26","0",0,"Weight gain","Avg. daily gain kg /day","Agricultural production","Animal husbandry","A15X","Optimised feeding plans (A15X)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","Increasing feeding level","Increasing feeding level","Not increasing feeding level","Not increasing feeding level","Milk yield","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Animal production","increase",1,0,0,0,"Subgroup-1","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","16.8","9.6","24.5","8","3","0",0,"Milk yield","Milk kg /day","Agricultural production","Animal husbandry","A15X","Optimised feeding plans (A15X)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","Animal and feed management","Animal and feed management","No feed management","Animal and feed management","Feed intake","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Animal production","increase",1,0,0,0,"Grand mean","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","16.899999999999999","13.5","20.3","175","93","0",0,"Feed intake","DMI kg /day","Agricultural production","Animal husbandry","A15X","Optimised feeding plans (A15X)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","Decreasing forage-to-concentrate ratio","Decreasing forage-to-concentrate ratio","No decrease in forage to concentrate ratio","No decrease in forage to concentrate ratio","Milk yield","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Animal production","increase",1,0,0,0,"Subgroup-1","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","16.899999999999999","10","24.3","26","15","0",0,"Milk yield","Milk kg /day","Agricultural production","Animal husbandry","A15X","Optimised feeding plans (A15X)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","Forage processing","Forage processing","No forage processing","No forage processing","Daily CH4 emission","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","GHG emissions","decrease",0,1,0,0,"Subgroup-2","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","17.399999999999999","5.7","30.4","15","11","0",0,"Methane emission (enteric fermentation)","CH4 g /day /head","GHG emissions","Animal husbandry","A15X","Optimised feeding plans (A15X)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).","Forage species","Forage species include Lespedeza, Leucaena, Lotus and Sainfoin. Effect sized by species are available in the MA (not extracted)",NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","Increasing feeding level","Increasing feeding level","Not increasing feeding level","Not increasing feeding level","Daily CH4 emission","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","GHG emissions","decrease",0,1,0,0,"Subgroup-1","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","17.899999999999999","14.4","21.5","42","23","0",0,"Methane emission (enteric fermentation)","CH4 g /day /head","GHG emissions","Animal husbandry","A15X","Optimised feeding plans (A15X)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).","Forage species","Forage species include Lespedeza, Leucaena, Lotus and Sainfoin. Effect sized by species are available in the MA (not extracted)",NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1016/j.agee.2019.106748","Swine","Other diet additives supplementation","Additives","No feed additives","No additives","Fecal N excretion","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Nutrient excretion","decrease",0,1,0,0,"Grand mean","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","18.95082","11.737705","26.688524999999998","105","35","0",0,"Nitrogen excretion","N fecal g /day","Sustainable use of resources","Animal husbandry","A14","Feed additives (A14)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","Decreasing forage-to-concentrate ratio with barley","Decreasing forage-to-concentrate ratio with barley","No decrease in forage to concentrate ratio","No decrease in forage to concentrate ratio","Weight gain","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Animal production","increase",1,0,0,0,"Subgroup-2","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","19.2","14.3","24.4","7","4","0",0,"Weight gain","Avg. daily gain kg /day","Agricultural production","Animal husbandry","A15X","Optimised feeding plans (A15X)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","Decreasing forage-to-concentrate ratio","Decreasing forage-to-concentrate ratio","No decrease in forage to concentrate ratio","No decrease in forage to concentrate ratio","Weight gain","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Animal production","increase",1,0,0,0,"Subgroup-1","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","20.7","13.2","28.6","32","19","0",0,"Weight gain","Avg. daily gain kg /day","Agricultural production","Animal husbandry","A15X","Optimised feeding plans (A15X)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","Citrus pulps","Citrus pulps","No citrus pulps","No citrus pulps","CH4 conversion rate - Ym","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","GHG emissions","decrease",0,0,1,0,"Subgroup-3","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","20.9","-0.3","46.5","3","3","0",0,"Methane emission (enteric fermentation)","CH4 % of gross energy intake (GEI)","GHG emissions","Animal husbandry","A14","Feed additives (A14)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).","Forage species","Forage species include Lespedeza, Leucaena, Lotus and Sainfoin. Effect sized by species are available in the MA (not extracted)",NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","Pulp sources","Pulp sources","No pulp sources","No pulp sources","CH4 conversion rate - Ym","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","GHG emissions","decrease",0,0,1,0,"Subgroup-2","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","20.9","-0.3","46.5","3","3","0",0,"Methane emission (enteric fermentation)","CH4 % of gross energy intake (GEI)","GHG emissions","Animal husbandry","A14","Feed additives (A14)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).","Forage species","Forage species include Lespedeza, Leucaena, Lotus and Sainfoin. Effect sized by species are available in the MA (not extracted)",NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","No increase in protein","Low crude protein diet","Increasing protein","No low crude protein diet","Milk yield","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Animal production","increase",0,1,0,0,"Subgroup-1","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","21.222999999999999","16.899999999999999","25.7","11","3","0",0,"Milk yield","Milk kg /day","Agricultural production","Animal husbandry","A15X","Optimised feeding plans (A15X)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","Forage processing","Forage processing","No forage processing","No forage processing","Feed intake","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Animal production","increase",1,0,0,0,"Subgroup-2","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","21.8","12","32.6","14","9","0",0,"Feed intake","DMI kg /day","Agricultural production","Animal husbandry","A15X","Optimised feeding plans (A15X)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","No increase in protein","Low crude protein diet","Increasing protein","No low crude protein diet","Daily CH4 emission","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","GHG emissions","decrease",1,0,0,0,"Subgroup-1","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","21.826000000000001","13.1","31.2","11","3","0",0,"Methane emission (enteric fermentation)","CH4 g /day /head","GHG emissions","Animal husbandry","A15X","Optimised feeding plans (A15X)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).","Forage species","Forage species include Lespedeza, Leucaena, Lotus and Sainfoin. Effect sized by species are available in the MA (not extracted)",NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.fcr.2021.108210","Maize","Flat row plastic mulching","Plastic film mulching","Non mulching","No mulching","Crop yield","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Crop yield","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Crop yield","%","Agricultural production","Soil management","S21X","Mulching (S21X)","Mainly Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cover and catch crops","10.2135/cropsci2018.09.0589","Cereals and vegetables","Cover crops  (intercropped to main crop)","Cover crops","no cover crop (fallow) . all other aspects of management held constant like in the intervention.","Bare soil","Weed suppression","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Pests and diseases","decrease",1,0,0,0,"Grand-mean","Ratio of the considered metrics in the intervention to the considered metrics in the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","0.3","0.25","0.45","31",NA,"1",0,"weed",NA,"Biodiversity","Soil management","S23X","Cover crops (S23X)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cover and catch crops","10.2135/cropsci2018.09.0589","Cereals and vegetables","Cover crops  (sequential to main crop)","Cover crops","no cover crop (fallow) . all other aspects of management held constant like in the intervention.","Bare soil","Weed suppression","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Pests and diseases","decrease",1,0,0,0,"Grand-mean","Ratio of the considered metrics in the intervention to the considered metrics in the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","0.3","0.25","0.45","31",NA,"1",0,"weed",NA,"Biodiversity","Soil management","S23X","Cover crops (S23X)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cover and catch crops","10.2135/cropsci2018.09.0589","Cereals and vegetables","Cover crops  with herbicides","Cover crops","no cover crop (fallow) . all other aspects of management held constant like in the intervention.","Bare soil","Weed suppression","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Pests and diseases","decrease",1,0,0,0,"Grand-mean","Ratio of the considered metrics in the intervention to the considered metrics in the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","0.3","0.25","0.45","31",NA,"1",0,"weed",NA,"Biodiversity","Soil management","S23X","Cover crops (S23X)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cover and catch crops","10.2135/cropsci2018.09.0589","Cereals and vegetables","Cover crops (mixture of different species, without herbicides)","Cover crops","no cover crop (fallow) . all other aspects of management held constant like in the intervention.","Bare soil","Weed suppression","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Pests and diseases","decrease",1,0,0,0,"Grand-mean","Ratio of the considered metrics in the intervention to the considered metrics in the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","0.63","0.4","0.8","21",NA,"1",0,"weed",NA,"Biodiversity","Soil management","S23X","Cover crops (S23X)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cover and catch crops","10.2135/cropsci2018.09.0589","Cereals and vegetables","Cover crops (single species, without herbicides)","Cover crops","no cover crop (fallow) . all other aspects of management held constant like in the intervention.","Bare soil","Weed suppression","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Pests and diseases","decrease",1,0,0,0,"Grand-mean","Ratio of the considered metrics in the intervention to the considered metrics in the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","0.65","0.52","0.77","78",NA,"1",0,"weed",NA,"Biodiversity","Soil management","S23X","Cover crops (S23X)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.fcr.2021.108210","Wheat","Flat row plastic mulching","Plastic film mulching","Non mulching","No mulching","Crop yield","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Crop yield","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Crop yield","%","Agricultural production","Soil management","S21X","Mulching (S21X)","Mainly Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.fcr.2021.108210","Maize","Flat row plastic mulching","Plastic film mulching","Non mulching","No mulching","N2O emission","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","GHG emissions","decrease",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Nitrous oxide emission (soil)",NA,"GHG emissions","Soil management","S21X","Mulching (S21X)","China, South Korea, Pakistan, Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.fcr.2021.108210","Wheat","Flat row plastic mulching","Plastic film mulching","Non mulching","No mulching","N2O emission","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","GHG emissions","decrease",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Nitrous oxide emission (soil)",NA,"GHG emissions","Soil management","S21X","Mulching (S21X)","China, South Korea, Pakistan, Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.fcr.2021.108210","Maize","Full plastic mulching","Plastic film mulching","Non mulching","No mulching","CH4 uptake","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","GHG emissions","decrease",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Methane emission (soil)",NA,"GHG emissions","Soil management","S21X","Mulching (S21X)","China, South Korea, Pakistan, Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.fcr.2021.108210","Wheat","Full plastic mulching","Plastic film mulching","Non mulching","No mulching","CH4 uptake","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","GHG emissions","decrease",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Methane emission (soil)",NA,"GHG emissions","Soil management","S21X","Mulching (S21X)","China, South Korea, Pakistan, Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.fcr.2021.108210","Maize","Full plastic mulching","Plastic film mulching","Non mulching","No mulching","Crop yield","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Crop yield","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Crop yield","%","Agricultural production","Soil management","S21X","Mulching (S21X)","Mainly Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.fcr.2021.108210","Wheat","Full plastic mulching","Plastic film mulching","Non mulching","No mulching","Crop yield","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Crop yield","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Crop yield","%","Agricultural production","Soil management","S21X","Mulching (S21X)","Mainly Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.fcr.2021.108210","Maize","Full plastic mulching","Plastic film mulching","Non mulching","No mulching","N2O emission","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","GHG emissions","decrease",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Nitrous oxide emission (soil)",NA,"GHG emissions","Soil management","S21X","Mulching (S21X)","China, South Korea, Pakistan, Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.fcr.2021.108210","Wheat","Full plastic mulching","Plastic film mulching","Non mulching","No mulching","N2O emission","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","GHG emissions","decrease",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Nitrous oxide emission (soil)",NA,"GHG emissions","Soil management","S21X","Mulching (S21X)","China, South Korea, Pakistan, Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.fcr.2021.108210","Maize","Partial plastic mulching","Plastic film mulching","Non mulching","No mulching","CH4 uptake","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","GHG emissions","decrease",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Methane emission (soil)",NA,"GHG emissions","Soil management","S21X","Mulching (S21X)","China, South Korea, Pakistan, Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.fcr.2021.108210","Wheat","Partial plastic mulching","Plastic film mulching","Non mulching","No mulching","CH4 uptake","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","GHG emissions","decrease",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Methane emission (soil)",NA,"GHG emissions","Soil management","S21X","Mulching (S21X)","China, South Korea, Pakistan, Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manure storage techniques","10.1016/j.wasman.2019.03.054","Animal waste","Biochar addition on livestock and poultry waste compost (biochar-compost)","Storage with additives","Compost of animal waste without biochar addition","Conventional management","NH3 emissions","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Air pollutants emissions","decrease",0,0,0,1,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Ammonia emission (manure)",NA,"Pollution","Manure management","M111","Manure storage with additives (M111)","Not reported",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.fcr.2021.108210","Maize","Partial plastic mulching","Plastic film mulching","Non mulching","No mulching","Crop yield","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Crop yield","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Crop yield","%","Agricultural production","Soil management","S21X","Mulching (S21X)","Mainly Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.fcr.2021.108210","Wheat","Partial plastic mulching","Plastic film mulching","Non mulching","No mulching","Crop yield","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Crop yield","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Crop yield","%","Agricultural production","Soil management","S21X","Mulching (S21X)","Mainly Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.fcr.2021.108210","Maize","Partial plastic mulching","Plastic film mulching","Non mulching","No mulching","N2O emission","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","GHG emissions","decrease",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Nitrous oxide emission (soil)",NA,"GHG emissions","Soil management","S21X","Mulching (S21X)","China, South Korea, Pakistan, Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manure storage techniques","10.1016/j.jclepro.2019.06.288","Livestock manure, food waste, sewage sludge and/or green waste","Additives (chemical additives, e.g. phosphate, magnesium salts, superphosphate, gypsum etc.; physical additives, e.g. biochar, zeolite, bentonite, etc.","Storage with additives","No additive","Conventional management","NH3 emission in terms of cumulative NH3-N losses as a proportion of the TN of the initial composting material","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Air pollutants emissions","decrease",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Ammonia emission (manure)",NA,"Pollution","Manure management","M111","Manure storage with additives (M111)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manure storage techniques","10.1016/j.jclepro.2019.06.288","Livestock manure, food waste, sewage sludge and/or green waste","Additives (microbial additives, e.g. nitrite-oxidizing bacteria (NOB), NTB (ammonifiers, nitrobacteria, azotobacter) agent, etc.)","Storage with microbial inocula","No additive","Conventional management","NH3 emission in terms of cumulative NH3-N losses as a proportion of the TN of the initial composting material","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Air pollutants emissions","decrease",1,0,0,0,"Subgroup-1",NA,NA,NA,NA,NA,NA,NA,NA,0,"Ammonia emission (manure)",NA,"Pollution","Manure management","M111","Manure storage with additives (M111)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manure land application techniques","10.1111/gcb.12767","Liquid manure of dairy cows and swine stables","band spreading","Land application with banding","Surface spreading with broadcast","Conventional management","NH3 emission","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Air pollutants emissions","decrease",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Ammonia emission (manure)",NA,"Pollution","Fertilisation and soil amendments","F219","Slurry incorporation (within 6h) (F216), Slurry incorporation (within 24h) (F217)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manure land application techniques","10.1111/gcb.12767","Solid manure of dairy cows and swine stables","immediate incorporation","Land application with deep placement or immediate incorporation","Surface spreading with broadcast","Conventional management","NH3 emission","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Air pollutants emissions","decrease",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Ammonia emission (manure)",NA,"Pollution","Fertilisation and soil amendments","F216","Slurry incorporation (within 6h) (F216)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manure land application techniques","10.1111/gcb.12767","Liquid manure of dairy cows and swine stables","Injection","Land application with deep placement or immediate incorporation","Surface spreading with broadcast","Conventional management","NH3 emission","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Air pollutants emissions","decrease",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Ammonia emission (manure)",NA,"Pollution","Fertilisation and soil amendments","F218","Slurry incorporation (within 6h) (F216), Slurry incorporation (within 24h) (F217)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manure processing techniques","10.1111/gcb.12767","Liquid manure of dairy cows and swine stables","Digestate","Anaerobic digestion","Raw slurry","Conventional management","NH3 emission","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Air pollutants emissions","decrease",0,0,1,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Ammonia emission (manure)",NA,"Pollution","Manure management","M133","Anaerobic co-digestion (M133)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manure processing techniques","10.1111/gcb.12767","Liquid manure of dairy cows and swine stables","Separated liquid fraction","Solid-liquid separation","Raw slurry","Conventional management","NH3 emission","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Air pollutants emissions","decrease",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Ammonia emission (manure)",NA,"Pollution","Manure management","M141+F436","Solid-liquid separation (M141) Application of digestate liquid fractions (F436)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manure storage techniques","10.1111/gcb.12767","Liquid manure of dairy cows and swine stables","Acidification during storage","Storage with acidification","No measure","Conventional management","NH3 emission","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Air pollutants emissions","decrease",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Ammonia emission (manure)",NA,"Pollution","Manure management","M114","Manure acidification during storage (M114)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
