"sustainability_outcome","impact_matrix","impact_positive_effect","metric_std2","metric","metric_positive_effect","metric_unit","doi","fpid"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (arthropod)","Coleoptera abundance","increase",NA,"10.1016/j.biocon.2007.11.006","Wetland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (invertebrate)","Overall invertebrate abundance (and density, for molluscs only)","increase","number of invertebrates per pitfall trap or litter bag (and density in  number of individuals in quadrats per m2 for molluscs)","10.1016/j.biocon.2007.11.006","Wetland conservation and restoration"
"Biodiversity","Pests and diseases","Decrease","weed","Phragmites australis biomass","decrease",NA,"10.1016/j.biocon.2007.11.006","Wetland conservation and restoration"
"Biodiversity","Pests and diseases","Decrease","weed","Phragmites australis stem density","decrease",NA,"10.1016/j.biocon.2007.11.006","Wetland conservation and restoration"
"Biodiversity","Pests and diseases","Decrease","weed","Phragmites australis stem diameter","decrease",NA,"10.1016/j.biocon.2007.11.006","Wetland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Biodiversity parameters (aggregated)","Species or family richness (Taxa richness)","increase",NA,"10.1186/s12862-021-01911-9","Agroforestry practices and systems"
"Biodiversity","Pests and diseases","Decrease","weed","Phragmites australis stem height","decrease",NA,"10.1016/j.biocon.2007.11.006","Wetland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (plant)","Plant aboveground biomass","increase",NA,"10.1016/j.biocon.2007.11.006","Wetland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (plant)","Plant stem density","increase",NA,"10.1016/j.biocon.2007.11.006","Wetland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (plant)","Plant stem height","increase",NA,"10.1016/j.biocon.2007.11.006","Wetland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (arthropod)","Overall invertebrate species richness","increase",NA,"10.1016/j.biocon.2007.11.006","Wetland conservation and restoration"
"Soil health","Soil nutrients","Increase","Soil nitrogen (dissolved organic fractions)","Dissolved organic nitrogen","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","SOC concentration","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Soil health","Soil physico-chemical quality","increase","Soil structure","Soil aggregates mean Weight Diameter","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Soil health","Soil nutrients","Increase","Soil aluminium","Soil Al3+ ion","decrease",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Soil health","Soil nutrients","Increase","Soil phosphorous","Soil available phosphorous","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Soil health","Soil nutrients","Increase","Soil calcium","Soil Ca2+ ion","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Soil health","Soil nutrients","Increase","Soil electrical conductivity","Soil electrical conductivity","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Soil health","Soil nutrients","Increase","Soil iron","Soil Fe2+ ion","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Soil health","Soil nutrients","Increase","Soil manganese","Soil Mn2+ ion","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Soil health","Soil nutrients","Increase","Soil nitrate","Soil NO3−","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Soil health","Soil nutrients","Increase","Soil phosphorous","Soil Olsen phosphorus","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Carbon sequestration","Carbon sequestration","Increase","Total carbon content (soil)","Soil total C","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Soil health","Soil nutrients","Increase","Soil phosphorous","Soil Total phosphorus","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Soil health","Soil nutrients","Increase","Soil zinc","Soil Zn2+ ion","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Carbon sequestration","Carbon sequestration","Increase","Organic matter content (soil)","SOM content","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Soil health","Soil water retention","Increase","Soil water","Water holding capacity","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Soil health","Soil water retention","Increase","Soil water","Water stable aggregate","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (bacteria)","Bacterial community abundance","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Soil health","Soil biological quality","Increase","Functional parameters (enzymatic activity)","Beta- Glucosidase activity","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (fungi)","Fungal community abundance","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Microbial biomass phosphorus (MBP)","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Microbial Community abundance","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Soil health","Soil biological quality","Increase","Functional parameters (enzymatic activity)","Protease activity","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Soil health","Soil biological quality","Increase","Functional parameters (respiration)","Soil Basal respiration","increase",NA,"10.1007/s11104-023-06385-w","Agroforestry practices and systems"
"Biodiversity","Biodiversity","Increase","Biodiversity parameters (aggregated)","Abundance metrics: abundance, density, catch-per-unit effort, relative ratio of abundance/density, counts, number of individuals","increase",NA,"10.1111/gcb.15765","Wetland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Biodiversity parameters (aggregated)","Diversity metrics: Shannon-Wiener H', Margalef's richness d, Pielou's evenness J', Simpson’s diversity, Jaccard similarity index, Simpson similarity index, species richness, tropic diversity, number of species","increase",NA,"10.1111/gcb.15765","Wetland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (fish)","Fitness metrics: biomass, growth rate, survival rate, body size, reproduction, habitat use, food or energy contribution, prey/ energy/ plant intake","increase",NA,"10.1111/gcb.15765","Wetland conservation and restoration"
"Sustainable use of resources","Plant nutrient uptake","Increase","Crop nitrogen uptake","Nutrient content in above-ground biomass","increase",NA,"10.1016/j.fcr.2016.07.018","Low ammonia emission techniques for mineral fertilisation"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (soil)","Efficiency of C sequestration","increase",NA,"10.1016/j.agee.2016.10.024","Organic fertilisation"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","SOC response ratio","increase",NA,"10.1016/j.agee.2016.10.024","Organic fertilisation"
"Pollution","Air pollutants emissions","Decrease","Ammonia emission (manure)","NH3 emission in terms of cumulative NH3-N losses as a proportion of the TN of the initial composting material","decrease",NA,"10.1016/j.jclepro.2019.06.288","Manure storage techniques"
"Pollution","Air pollutants emissions","Decrease","Ammonia emission (manure)","NH3 emission","decrease",NA,"10.1111/gcb.12767","Manure land application techniques"
"Agricultural production","Crop yield","Increase","Crop yield","Energy output from yield","increase",NA,"10.1016/j.scitotenv.2020.141479","Mulching"
"Sustainable use of resources","Nitrogen footprint (LCA)","Decrease","Nitrogen footprint","Nitrogen footprint per unit of net economic return","decrease",NA,"10.1016/j.scitotenv.2020.141479","Mulching"
"Sustainable use of resources","Nitrogen footprint (LCA)","Decrease","Nitrogen footprint","Reactive nitrogen loss","decrease","N-eq kg /ha /year","10.1016/j.scitotenv.2020.141479","Mulching"
"Sustainable use of resources","Water footprint (LCA)","Decrease","Water footprint (LCA)","Blue water availability (VWA)","increase",NA,"10.1016/j.agwat.2021.107293","Mulching"
"Sustainable use of resources","Water footprint (LCA)","Decrease","Water footprint (LCA)","Global stress-weighted water footprint per unit of net economic return (WFe)","decrease",NA,"10.1016/j.agwat.2021.107293","Mulching"
"Sustainable use of resources","Water footprint (LCA)","Decrease","Water footprint (LCA)","Global stress-weighted water footprint per unit of output energy (WFo)","decrease",NA,"10.1016/j.agwat.2021.107293","Mulching"
"Biodiversity","Pests and diseases","Decrease","pest","number of eggs/eggmasses in roots","decrease",NA,"10.1007/s11368-019-02498-x","Crop residue management"
"Biodiversity","Pests and diseases","Decrease","crop damage or disease","Root galling","decrease",NA,"10.1007/s11368-019-02498-x","Crop residue management"
"Biodiversity","Pests and diseases","Decrease","pest","Root-knot nematodes number in roots","decrease",NA,"10.1007/s11368-019-02498-x","Crop residue management"
"Biodiversity","Pests and diseases","Decrease","pest","Root-knot nematodes number in soil","decrease",NA,"10.1007/s11368-019-02498-x","Crop residue management"
"Biodiversity","Pests and diseases","Decrease","pest","Root-knot nematodes numbers and damage","decrease",NA,"10.1007/s11368-019-02498-x","Crop residue management"
"Soil health","Soil water retention","Increase","Soil water","Precipitation soil-storage efficiency during the fallow period","increase",NA,"10.1016/j.agwat.2021.107085","Cover and catch crops"
"Soil health","Soil water retention","Increase","Soil water","Soil water storage at succeeding crop planting for the 30 cm topsoil","increase",NA,"10.1016/j.agwat.2021.107085","Cover and catch crops"
"Soil health","Soil water retention","Increase","Soil water","Soil water storage at succeeding crop planting for the whole soil profile","increase",NA,"10.1016/j.agwat.2021.107085","Cover and catch crops"
"Agricultural production","Crop yield","Increase","Crop yield","Succeeding crop yield","increase",NA,"10.1016/j.agwat.2021.107085","Cover and catch crops"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Native soil organic matter","increase",NA,"10.1111/gcbb.12266","Soil amendment with biochar"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (bird)","Farmland bird abundance","increase",NA,"10.1007/978-3-319-00915-5_3","Organic farming systems"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen loss","Nitrogen leaching or Soil inorganic N content","decrease",NA,"10.1007/s13593-016-0397-3","Cover and catch crops"
"Soil health","Soil biological quality","Increase","Functional parameters (enzymatic activity)","Fluorescein diacetate hydrolysis (FDA)","increase",NA,"10.1002/saj2.20261","Crop residue management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Permanganate oxidizable C (POXC)","increase",NA,"10.1002/saj2.20261","Crop residue management"
"Soil health","Soil biological quality","Increase","Functional parameters (enzymatic activity)","β-glucosidase (BG)","increase",NA,"10.1002/saj2.20261","Crop residue management"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (soil)","Soil organic carbon change rate","increase","C g /m2 /year","10.1111/gcbb.12631","Crop residue management"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Soil carbon content and stocks 0_20cm","increase",NA,"10.1007/s11104-021-04881-5","Crop residue management"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Soil carbon content and stocks 0-20cm","increase",NA,"10.1007/s11104-021-04881-5","Crop residue management"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Soil carbon content and stocks 0-5cm","increase",NA,"10.1007/s11104-021-04881-5","Crop residue management"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Soil carbon content and stocks 20-100cm","increase",NA,"10.1007/s11104-021-04881-5","Crop residue management"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Soil carbon content and stocks 0-10cm","increase",NA,"10.1007/s11104-021-04881-5","Crop residue management"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (arthropod)","Arthropods abundance (number or density of individuals, population size)","increase",NA,"10.1111/1365-2664.12943","Agroforestry practices and systems"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (arthropod)","Arthropods richness","increase",NA,"10.1111/1365-2664.12943","Agroforestry practices and systems"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (herbaceous plant)","Herbal plants abundance (number or density of individuals, population size, biomass or cover (for some plants))","increase",NA,"10.1111/1365-2664.12943","Agroforestry practices and systems"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (herbaceous plant)","Herbal plants richness","increase",NA,"10.1111/1365-2664.12943","Agroforestry practices and systems"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (vertebrate)","Vertebrates abundance (number or density of individuals, population size, biomass or cover (for some plants), or flight activity (for some bats))","increase",NA,"10.1111/1365-2664.12943","Agroforestry practices and systems"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (vertebrate)","Vertebrates richness","increase",NA,"10.1111/1365-2664.12943","Agroforestry practices and systems"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (woody plant)","Woody plants abundance (number or density of individuals, population size, biomass or cover (for some plants))","increase",NA,"10.1111/1365-2664.12943","Agroforestry practices and systems"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (woody plant)","Woody plants richness","increase",NA,"10.1111/1365-2664.12943","Agroforestry practices and systems"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Soil carbon content and stocks 5-20cm","increase",NA,"10.1007/s11104-021-04881-5","Crop residue management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (nematode)","Abundance of nematodes: Enrichment index","increase","Enrichment index","10.1016/j.soilbio.2021.108383","Intercropping"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (nematode)","Abundance of nematodes: Maturity index","increase","Maturity index","10.1016/j.soilbio.2021.108383","Intercropping"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (nematode)","Abundance of nematodes: Nematode channel ratio","increase","Nematode channel ratio","10.1016/j.soilbio.2021.108383","Intercropping"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (nematode)","Abundance of nematodes: Plant parasite index","increase","Plant parasite index","10.1016/j.soilbio.2021.108383","Intercropping"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (nematode)","Abundance of nematodes: Shannon diversity index","increase","Shannon's diversity index","10.1016/j.soilbio.2021.108383","Crop rotation"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (nematode)","Abundance of nematodes: Structure index","increase","Structure index","10.1016/j.soilbio.2021.108383","Intercropping"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (nematode)","Abundance of nematodes: Taxonomy richness","increase",NA,"10.1016/j.soilbio.2021.108383","Intercropping"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (nematode)","Abundance of nematodes: Total density of nematodes","increase",NA,"10.1016/j.soilbio.2021.108383","Intercropping"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (nematode)","Abundance of nematodes: Abundance of bacterial feeders","increase",NA,"10.1016/j.soilbio.2021.108383","Cover and catch crops"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (nematode)","Abundance of nematodes: Abundance of fungal feeders","increase",NA,"10.1016/j.soilbio.2021.108383","Cover and catch crops"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (nematode)","Abundance of nematodes: Abundance of omnivore-predators","increase",NA,"10.1016/j.soilbio.2021.108383","Cover and catch crops"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (nematode)","Abundance of nematodes: Abundance of plant feeders","increase",NA,"10.1016/j.soilbio.2021.108383","Cover and catch crops"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (nematode)","Abundance of nematodes: Structure index (Taxonomic richness)","increase",NA,"10.1016/j.soilbio.2021.108383","Crop rotation"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (bacteria)","Bacterial biomass","increase",NA,"10.1098/rspb.2020.2063","Grassland management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (fungi)","Fungal biomass","increase",NA,"10.1098/rspb.2020.2063","Grassland management"
"GHG emissions","GHG emissions","Decrease","Aggregated GHGs emission (soil)","Carbon dioxide equivalent (CO2eq) emissions","decrease","CO2-eq","10.1080/00380768.2019.1683890","Water-saving irrigation practices in flooded lands"
"Soil health","Soil physico-chemical quality","Increase","Soil bulk density","Subsoil bulk density change (%)","decrease",NA,"10.3390/land11050645","Crop residue management"
"Soil health","Soil physico-chemical quality","Increase","Soil bulk density","Topsoil bulk density change (%)","decrease",NA,"10.3390/land11050645","Crop residue management"
"Biodiversity","Biodiversity","Increase","Biodiversity parameters (aggregated)","Biodiversity (several metrics, e.g. Abundance, species richness, biomass, species number, density, Shannon-Wiener diversity index, Simpson diversity index, Margalef index, Pielou evenness index)","increase",NA,"10.1111/rec.12435","Wetland conservation and restoration"
"Soil health","Soil biological quality","Increase","Functional parameters (mychorrhizal fungi)","Arbuscular mycorrhizas fungal abundance","increase",NA,"10.1016/j.scitotenv.2019.134553","Grazing management"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen leaching","Nitrogen leaching loss","decrease",NA,"10.3390/plants11131690","Water-saving irrigation practices in flooded lands"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen run-off","Nitrogen runoff loss","decrease",NA,"10.3390/plants11131690","Water-saving irrigation practices in flooded lands"
"GHG emissions","GHG emissions","Decrease","Methane emission (soil)","CH4_C emission","decrease",NA,"10.1016/j.scitotenv.2021.147103","Manure processing techniques"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (manure)","N2O-N emission","decrease",NA,"10.1016/j.scitotenv.2021.147103","Manure processing techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (soil)","CH4-C loss","decrease",NA,"10.1016/j.scitotenv.2021.147103","Manure storage techniques"
"Biodiversity","Pests and diseases","Decrease","crop damage or disease","Disease incidence (wheat stripe rust intensity)","decrease",NA,"10.1007/s10658-019-01711-4","Intercropping"
"Soil health","Soil nutrients","Increase","Soil nitrogen","Soil total nitrogen content","increase",NA,"10.1016/j.ecolind.2021.107881","Grazing management"
"Soil health","Soil nutrients","Increase","Soil phosphorous","Soil total phosphorus","increase",NA,"10.1016/j.ecolind.2021.107881","Grazing management"
"Soil health","Soil nutrients","Increase","Biological N fixation","Dinitrogen (N2) fixation. Amount of N fixed per hectare","increase","Ndfa, kg N /ha","10.1016/j.eja.2020.126077","Intercropping"
"Soil health","Soil nutrients","Increase","Biological N fixation","Dinitrogen (N2) fixation: fraction of N fixed over total nitrogen in plant biomass","increase","Ndfa, %","10.1016/j.eja.2020.126077","Intercropping"
"Sustainable use of resources","Plant nutrient uptake","Increase","Crop nitrogen uptake","Soil-derived N acquisition for intecrop legumes, cereals and legumes + cereals compared to monoculture","increase",NA,"10.1016/j.eja.2020.126077","Intercropping"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (bacteria)","Bacteria richness","increase",NA,"10.1016/j.ecolind.2021.107881","Grazing management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (fungi)","Fungi richness","increase",NA,"10.1016/j.ecolind.2021.107881","Grazing management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (bacteria)","Soil Actinomycetes biomass","increase",NA,"10.1016/j.ecolind.2021.107881","Grazing management"
"Soil health","Soil biological quality","Increase","Functional parameters (mychorrhizal fungi)","Soil arbuscular mycorrhiza fungi biomass","increase",NA,"10.1016/j.ecolind.2021.107881","Grazing management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (bacteria)","Soil bacteria biomass","increase",NA,"10.1016/j.ecolind.2021.107881","Grazing management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (fungi)","Soil fungi biomass","increase",NA,"10.1016/j.ecolind.2021.107881","Grazing management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (bacteria)","Soil Gram- biomass","increase",NA,"10.1016/j.ecolind.2021.107881","Grazing management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (bacteria)","Soil Gram+ biomass","increase",NA,"10.1016/j.ecolind.2021.107881","Grazing management"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","Active organic carbon","increase",NA,"10.1002/ldr.3492","Crop residue management"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","Dissolved organic carbon","increase",NA,"10.1002/ldr.3492","Crop residue management"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","Liable organic carbon","increase",NA,"10.1002/ldr.3492","Crop residue management"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","Light fraction organic carbon","increase",NA,"10.1002/ldr.3492","Crop residue management"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","Particulate organic carbon","increase",NA,"10.1002/ldr.3492","Crop residue management"
"Soil health","Soil physico-chemical quality","Increase","Soil structure","Soil aggregation","increase",NA,"10.1002/ldr.3492","Crop residue management"
"Soil health","Soil nutrients","Increase","Soil phosphorous","Total phosphorus","increase",NA,"10.1002/ldr.3492","Crop residue management"
"Soil health","Soil nutrients","Increase","Soil potassium","Total potassium","increase",NA,"10.1002/ldr.3492","Crop residue management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (bacteria)","Bacteria community size","increase",NA,"10.1016/j.agee.2017.08.007","Grazing management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (fungi)","Fungi community size","increase",NA,"10.1016/j.agee.2017.08.007","Grazing management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Microbe community size","increase",NA,"10.1016/j.agee.2017.08.007","Grazing management"
"Agricultural production","Crop yield","Increase","Crop yield","subsequent crop yield, i.e. crop yield referred only to the main crop","increase",NA,"10.1016/j.fcr.2019.107659","Crop rotation"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen leaching","Soil nitrate leaching (e.g., nitrate content in the leachate, in lysimeters)","Decrease",NA,"10.1016/j.landusepol.2019.104204","Cover and catch crops"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","Soil organic matter (including soil organic carbon)","increase",NA,"10.1016/j.landusepol.2019.104204","Cover and catch crops"
"Soil health","Soil water retention","Increase","Soil water","Soil water content: measured in spring, when the cover crop was suppressed or anytime thereafter, but before the food crop was planted","Increase",NA,"10.1016/j.landusepol.2019.104204","Cover and catch crops"
"Sustainable use of resources","Nutrients recovery","Increase","manure-nitrogen loss","Total nitrogen loss","decrease",NA,"10.1016/j.scitotenv.2019.135401","Manure processing techniques"
"GHG emissions","GHG emissions","Decrease","Aggregated GHGs emission (soil)","Area-scaled GWP (N2O and CH4)","decrease","CO2-eq","10.1016/j.scitotenv.2018.08.392","Water-saving irrigation practices in flooded lands"
"GHG emissions","GHG emissions","Decrease","Methane emission (soil)","Area-scaled CH4 emissions","decrease","CH4-C kg /ha","10.1016/j.scitotenv.2018.08.392","Water-saving irrigation practices in flooded lands"
"GHG emissions","GHG emissions","Decrease","Methane emission (soil)","Yield-scaled CH4 emissions","decrease",NA,"10.1016/j.scitotenv.2018.08.392","Water-saving irrigation practices in flooded lands"
"GHG emissions","GHG emissions","Decrease","Aggregated GHGs emission (soil)","Aggregated soil GHG emission (as CO2eq)","decrease","CO2-eq kg /ha day","10.1016/j.scitotenv.2018.08.392","Soil amendment with biochar"
"GHG emissions","GHG emissions","Decrease","Aggregated GHGs emission (soil) (product based)","Yield-scaled global warming potential (N2O and CH4)","decrease",NA,"10.1016/j.scitotenv.2018.08.392","Water-saving irrigation practices in flooded lands"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","Soil carbon pool","increase","1) C g /kg soil; 2) C t /ha","10.1111/gcb.13431","Grazing management"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (litter)","Litter carbon pool","increase",NA,"10.1111/gcb.13431","Grazing management"
"Soil health","Soil nutrients","Increase","Soil nitrogen","Litter nitrogen pool","increase",NA,"10.1111/gcb.13431","Grazing management"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (belowground)","Root carbon pool","increase",NA,"10.1111/gcb.13431","Grazing management"
"Soil health","Soil nutrients","Increase","Soil nitrogen","Soil nitrogen pool","increase",NA,"10.1111/gcb.13431","Grazing management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Phospholipid fatty acid (PLFA) biomass","increase","total phospholipid-derived fatty acid (PLFA)","10.1016/j.soilbio.2017.09.015","Grassland management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (bacteria)","Actinomycetes biomass","increase",NA,"10.1016/j.soilbio.2017.09.015","Grassland management"
"Soil health","Soil biological quality","Increase","Functional parameters (mychorrhizal fungi)","Arbuscolar mycorrhizal fungi biomass","increase",NA,"10.1016/j.soilbio.2017.09.015","Grassland management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (bacteria)","Bacteria biomass","increase",NA,"10.1016/j.soilbio.2017.09.015","Grassland management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (fungi)","Fungi biomass","increase",NA,"10.1016/j.soilbio.2017.09.015","Grassland management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (bacteria)","Gram negative biomass","increase",NA,"10.1016/j.soilbio.2017.09.015","Grassland management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (bacteria)","Gram positive biomass","increase",NA,"10.1016/j.soilbio.2017.09.015","Grassland management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Microbial carbon biomass","increase",NA,"10.1016/j.soilbio.2017.09.015","Grassland management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Microbial nitrogen biomass","increase",NA,"10.1016/j.soilbio.2017.09.015","Grassland management"
"Biodiversity","Biodiversity","Increase","Biodiversity parameters (aggregated)","Plants, Bryophita, Gasteropoda, insects and spiders abundance, richness, diversity and eveness metrics","increase",NA,"10.1007/s10531-018-1562-6","Grassland management"
"GHG emissions","GHG emissions","Decrease","Methane emission (soil)","Methane fluxes","decrease",NA,"10.1111/gcb.14933","Wetland conservation and restoration"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (grazing animals)","Soil N2O emissions","decrease",NA,"10.1016/j.scitotenv.2018.11.082","Grazing management"
"Pollution","Air pollutants emissions","Decrease","Ammonia emission (manure)","NH3_N emission","decrease",NA,"10.1016/j.scitotenv.2021.147103","Manure processing techniques"
"Agricultural production","Grassland production","Increase","Net primary productivity","biomass production","Increase",NA,"10.1016/j.agee.2016.06.002","Agroforestry practices and systems"
"Agricultural production","Farming system productivity","Increase","Food production yield","food production yield","increase",NA,"10.1016/j.agee.2016.06.002","Agroforestry practices and systems"
"Biodiversity","Biodiversity","Increase","Biodiversity parameters (aggregated)","Richness and Abundance (taxa studied among plants/arthropods/fungi/birds)","increase",NA,"10.1016/j.agee.2016.06.002","Agroforestry practices and systems"
"Soil health","Soil nutrients","Increase","Soil nutrients (aggregated)","soil fertility/nutrient cycling parameters","increase",NA,"10.1016/j.agee.2016.06.002","Agroforestry practices and systems"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen leaching","Nitrate-N groundwater","decrease","NO3-N kg /m3 /time","10.2134/jeq2018.03.0120","Landscape features"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen run-off","Nitrate-N surface run-off","decrease","NO3-N kg /m3 /time","10.2134/jeq2018.03.0120","Landscape features"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen run-off","Total-N surface run-off","decrease","N-tot kg /m3 /time","10.2134/jeq2018.03.0120","Landscape features"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","C stock","increase","C t /ha","10.1016/j.agee.2017.04.015","Landscape features"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","C stock (shallow soil 0-30 cm, average 20 cm)","increase","C t /ha","10.1016/j.agee.2017.04.015","Landscape features"
"Biodiversity","Pests and diseases","Decrease","pest","Aphid density","decrease",NA,"10.1016/j.agee.2017.04.015","Landscape features"
"Pollution","Nutrient leaching and run-off","Decrease","Phosphorous loss or run-off","P runoff","decrease",NA,"10.1016/j.agee.2017.04.015","Landscape features"
"Biodiversity","Pests and diseases","Decrease","pest","Predator density","decrease",NA,"10.1016/j.agee.2017.04.015","Landscape features"
