fpid,doi,population,intervention,control,metric,effect_size,impact_matrix,impact_positive_effect
Leguminous crops,10.1016/j.agee.2020.106899,Crop production systems in tropics.,Agroforestry systems using N-fixing trees.,Crop monocolture.,Soil total nitrogen,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Leguminous crops,10.1016/j.agee.2020.106899,Crop production systems in tropics.,Agroforestry systems using NON-N-fixing trees.,Crop monocolture.,Soil total nitrogen,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Leguminous crops,10.2135/cropsci2018.10.0603,Cotton fields,Cover crops (dicot non-legume),No cover crops,Weed abundance (biomass),Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Pests and diseases,decrease
Leguminous crops,10.2135/cropsci2018.10.0603,Cotton fields,Cover crops (monocot),No cover crops,Weed abundance (biomass),Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Pests and diseases,decrease
Leguminous crops,10.1016/j.agee.2005.07.003,Conventional and diversified systems,Fertilization using legume cover crops as green manure,Bare soil with/without mineral-N fertilization,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Leguminous crops,10.1016/j.agee.2005.07.003,Arable crops,Fertilization using legume cover crops as green manure,Bare soil with/without mineral-N fertilization,N leaching,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Nutrient leaching and run-off,decrease
Cover and catch crops,10.1016/j.still.2019.04.020,Arable crops,Cover crops (Overall).  All or part of the N fertilizer rate was added as green manure.,Bare soil with the same treatments than in the intervention,Soil organic carbon,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Carbon sequestration,increase
Cover and catch crops,10.1016/j.still.2019.04.020,Arable crops,Incorporation of mix cover crops.  All or part of the N fertilizer rate was added as green manure.,Bare soil with the same treatments than in the intervention,Soil organic carbon,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Carbon sequestration,increase
Cover and catch crops,10.1016/j.still.2019.04.020,Arable crops,Legume cover crops.  All or part of the N fertilizer rate was added as green manure.,Bare soil with the same treatments than in the intervention,Soil organic carbon,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Carbon sequestration,increase
Cover and catch crops,10.1016/j.still.2019.04.020,Arable crops,Mix cover crops removed,Bare soil with the same treatments than in the intervention,Soil organic carbon,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Carbon sequestration,increase
Cover and catch crops,10.1016/j.still.2019.04.020,Arable crops,Mix cover crops.  All or part of the N fertilizer rate was added as green manure.,Bare soil with the same treatments than in the intervention,Soil organic carbon,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Carbon sequestration,increase
Cover and catch crops,10.1016/j.still.2019.04.020,Arable crops,Non-legume cover crops.  All or part of the N fertilizer rate was added as green manure.,Bare soil with the same treatments than in the intervention,Soil organic carbon,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Carbon sequestration,increase
Leguminous crops,10.1016/j.still.2019.04.020,Arable crops,Legume cover crops,Bare soil with the same treatments than in the intervention,Soil organic carbon,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Carbon sequestration,increase
Leguminous crops,10.1016/j.still.2019.04.020,Arable crops,Non-legume cover crops,Bare soil with the same treatments than in the intervention,Soil organic carbon,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Carbon sequestration,increase
Cover and catch crops,10.1016/j.still.2019.04.020,Arable crops,Cover crops (Overall).  All or part of the N fertilizer rate was added as green manure.,Bare soil with the same treatments than in the intervention,N2O emissions,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Cover and catch crops,10.1016/j.still.2019.04.020,Arable crops,Incorporation of mix cover crops.  All or part of the N fertilizer rate was added as green manure.,Bare soil with the same treatments than in the intervention,N2O emissions,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Cover and catch crops,10.1016/j.still.2019.04.020,Arable crops,Legume cover crops.  All or part of the N fertilizer rate was added as green manure.,Bare soil with the same treatments than in the intervention,N2O emissions,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Cover and catch crops,10.1016/j.still.2019.04.020,Arable crops,Mix cover crops removed,Bare soil with the same treatments than in the intervention,N2O emissions,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Cover and catch crops,10.1016/j.still.2019.04.020,Arable crops,Mix cover crops.  All or part of the N fertilizer rate was added as green manure.,Bare soil with the same treatments than in the intervention,N2O emissions,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Cover and catch crops,10.1016/j.still.2019.04.020,Arable crops,Non-legume cover crops.  All or part of the N fertilizer rate was added as green manure.,Bare soil with the same treatments than in the intervention,N2O emissions,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Cover and catch crops,10.1016/j.still.2019.04.020,Arable crops,Cover crops (Overall).  All or part of the N fertilizer rate was added as green manure.,Bare soil with the same treatments than in the intervention,soil nitrogen content,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Cover and catch crops,10.1016/j.still.2019.04.020,Arable crops,Incorporation of mix cover crops.  All or part of the N fertilizer rate was added as green manure.,Bare soil with the same treatments than in the intervention,soil nitrogen content,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Cover and catch crops,10.1016/j.still.2019.04.020,Arable crops,Legume cover crops.  All or part of the N fertilizer rate was added as green manure.,Bare soil with the same treatments than in the intervention,soil nitrogen content,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Cover and catch crops,10.1016/j.still.2019.04.020,Arable crops,Mix cover crops removed,Bare soil with the same treatments than in the intervention,soil nitrogen content,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Cover and catch crops,10.1016/j.still.2019.04.020,Arable crops,Mix cover crops.  All or part of the N fertilizer rate was added as green manure.,Bare soil with the same treatments than in the intervention,soil nitrogen content,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Cover and catch crops,10.1016/j.still.2019.04.020,Arable crops,Non-legume cover crops.  All or part of the N fertilizer rate was added as green manure.,Bare soil with the same treatments than in the intervention,soil nitrogen content,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Leguminous crops,10.1016/j.still.2019.04.020,Arable crops,Legume cover crops,Bare soil with the same treatments than in the intervention,N2O emissions,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Leguminous crops,10.1016/j.still.2019.04.020,Arable crops,Non-legume cover crops,Bare soil with the same treatments than in the intervention,N2O emissions,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Leguminous crops,10.1016/j.still.2019.04.020,Arable crops,Legume cover crops,Bare soil with the same treatments than in the intervention,soil nitrogen content,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Leguminous crops,10.1016/j.still.2019.04.020,Arable crops,Non-legume cover crops,Bare soil with the same treatments than in the intervention,soil nitrogen content,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Leguminous crops,10.1007/s13593-015-0336-8,Sorghum,"Nutrient management practices involving legumes (e.g., Sorghum-cowpea intercropping or rotation)",Monoculture,Sorghum yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Leguminous crops,10.1007/s13593-015-0336-8,Sorghum,"Nutrient management practices involving legumes (e.g., Sorghum-cowpea intercropping or rotation)",Monoculture,Sorghum yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Leguminous crops,10.1007/s13593-015-0336-8,Sorghum,"Nutrient management practices involving legumes (e.g., Sorghum-cowpea intercropping or rotation)",Monoculture,Sorghum yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Organic farming systems,10.1111/1365-2664.12219,Studies assessing the performance of organic systems in comparison to conventional systems.,Organic systems,Conventional systems,Species richness,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Biodiversity,increase
Cover and catch crops,10.1016/j.agee.2015.01.023,Spring cereals,Legume and mixed winter catch crops,Bare fallows,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Cover and catch crops,10.1016/j.agee.2015.01.023,Spring cereals,Non-legume winter catch crops,Bare fallows,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Cover and catch crops,10.1016/j.agee.2015.01.023,Spring cereals,Winter catch crops (legumes),Bare fallows,Nitrate and ammmonium leaching,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Nutrient leaching and run-off,decrease
Cover and catch crops,10.1016/j.agee.2015.01.023,Spring cereals,Winter catch crops (Non legumes),Bare fallows,Nitrate and ammmonium leaching,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Nutrient leaching and run-off,decrease
Leguminous crops,10.1016/j.agee.2015.01.023,Spring cereals,Legume and mixed winter catch crops,Bare fallows,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Leguminous crops,10.1016/j.agee.2015.01.023,Spring cereals,Non-legume winter catch crops,Bare fallows,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Leguminous crops,10.1016/j.agee.2015.01.023,Spring cereals,Winter catch crops (legumes),Bare fallows,Nitrate and ammmonium leaching,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Nutrient leaching and run-off,decrease
Leguminous crops,10.1016/j.agee.2015.01.023,Spring cereals,Winter catch crops (Non legumes),Bare fallows,Nitrate and ammmonium leaching,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Nutrient leaching and run-off,decrease
Wetland conservation and restoration,10.1016/j.biocon.2007.11.006,Reedbeds,"Burning, harvesting, grazing or mowing","No management (i.e., no burning, harvesting, grazing or mowing)",Araneae abundance,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Biodiversity,increase
Wetland conservation and restoration,10.1016/j.biocon.2007.11.006,Reedbeds,"Burning, harvesting, grazing or mowing","No management (i.e., no burning, harvesting, grazing or mowing)",Bird nesting success (clutch size and number of fledglings),Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Biodiversity,increase
Wetland conservation and restoration,10.1016/j.biocon.2007.11.006,Reedbeds,Burning or harvesting,"No management (i.e., no burning or harvesting)","Bird abundance (colony size, number of captures, density of males and density of nests)",Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Biodiversity,increase
Wetland conservation and restoration,10.1016/j.biocon.2007.11.006,Reedbeds,"Burning, harvesting, grazing or mowing","No management (i.e., no burning, harvesting, grazing or mowing)",Coleoptera abundance,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Biodiversity,increase
Wetland conservation and restoration,10.1016/j.biocon.2007.11.006,Reedbeds,"Burning, harvesting, grazing or mowing","No management (i.e., no burning, harvesting or grazing)","Overall invertebrate abundance (and density, for molluscs only)",Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Biodiversity,increase
Wetland conservation and restoration,10.1016/j.biocon.2007.11.006,Reedbeds,"Burning, harvesting, grazing or mowing","No management (i.e., no burning, harvesting, grazing or mowing)",Phragmites australis biomass,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Pests and diseases,decrease
Wetland conservation and restoration,10.1016/j.biocon.2007.11.006,Reedbeds,"Burning, harvesting, grazing or mowing","No management (i.e., no burning, harvesting, grazing or mowing)",Phragmites australis stem density,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Pests and diseases,decrease
Wetland conservation and restoration,10.1016/j.biocon.2007.11.006,Reedbeds,"Burning, harvesting, grazing or mowing","No management (i.e., no burning, harvesting, grazing or mowing)",Phragmites australis stem diameter,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Pests and diseases,decrease
Agroforestry practices and systems,10.1186/s12862-021-01911-9,Biodiversity,Silvoarable agroforestry systems,Cropland,Species or family richness (Taxa richness),Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Biodiversity,increase
Agroforestry practices and systems,10.1186/s12862-021-01911-9,Biodiversity,Silvopastoral agroforestry systems,Pasture,Species or family richness (Taxa richness),Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Biodiversity,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Extruded canola,No extruded canola,Milk yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Tanniferous forages - Lespedeza,No tanniferous forages,Feed intake,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Feed processing,No feed processing,Fiber digestibility,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Decreasing forage-to-concentrate ratio with Corn,No decrease in forage to concentrate ratio,Milk yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Increasing forage quality,Not increasing forage quality,Feed intake,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Glycerol,No glycerol,Daily CH4 emission,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Protein sources,No protein sources,Weight gain,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Decreasing grass maturity,Not decreasing grass maturity,Milk yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Minerals and salts,No minerals and salts,Weight gain,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Feed processing,No feed processing,Feed intake,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Oregano oil,No oregano oil,Feed intake,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Decreasing forage-to-concentrate ratio,No decrease in forage to concentrate ratio,Feed intake,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Diet formulation,No techniques on diet formulation,Weight gain,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Feed processing,No feed processing,Daily CH4 emission,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Increasing forage quality,Not increasing forage quality,Daily CH4 emission,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Pulp sources,No pulp sources,CH4 yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Wetland conservation and restoration,10.1016/j.biocon.2007.11.006,Reedbeds,Burning,No burning,Phragmites australis stem height,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Pests and diseases,decrease
Wetland conservation and restoration,10.1016/j.biocon.2007.11.006,Reedbeds,Harvesting,No harvesting,Phragmites australis stem height,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Pests and diseases,decrease
Wetland conservation and restoration,10.1016/j.biocon.2007.11.006,Reedbeds,"Burning, harvesting, grazing or mowing","No management (i.e., no burning, harvesting, grazing or mowing)",Plant abundance,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Biodiversity,increase
Wetland conservation and restoration,10.1016/j.biocon.2007.11.006,Reedbeds,"Burning, harvesting, grazing or mowing","No management (i.e., no burning, harvesting, grazing or mowing)",Plant aboveground biomass,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Biodiversity,increase
Wetland conservation and restoration,10.1016/j.biocon.2007.11.006,Reedbeds,"Burning, harvesting, grazing or mowing","No management (i.e., no burning, harvesting, grazing or mowing)",Plant stem density,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Biodiversity,increase
Wetland conservation and restoration,10.1016/j.biocon.2007.11.006,Reedbeds,"Burning, harvesting, grazing or mowing","No management (i.e., no burning, harvesting, grazing or mowing)",Plant stem height,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Biodiversity,increase
Wetland conservation and restoration,10.1016/j.biocon.2007.11.006,Reedbeds,"Burning, harvesting, grazing or mowing","No management (i.e., no burning, harvesting, grazing or mowing)",Overall invertebrate species richness,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Biodiversity,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Dissolved organic nitrogen,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Dissolved organic nitrogen,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Dissolved organic nitrogen,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,SOC concentration,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Carbon sequestration,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,SOC concentration,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Carbon sequestration,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,SOC concentration,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Carbon sequestration,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,SOC content,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Carbon sequestration,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,SOC content,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Carbon sequestration,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,SOC content,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Carbon sequestration,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,SOC stock,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Carbon sequestration,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil aggregates mean Weight Diameter,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil physico-chemical quality,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil aggregates mean Weight Diameter,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil physico-chemical quality,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil aggregates mean Weight Diameter,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil physico-chemical quality,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil Al3+ ion,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil Al3+ ion,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil Al3+ ion,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil available phosphorous,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil available phosphorous,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil available phosphorous,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil bulk density,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil physico-chemical quality,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil bulk density,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil physico-chemical quality,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil bulk density,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil physico-chemical quality,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil Ca2+ ion,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil Ca2+ ion,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil Ca2+ ion,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil cation exchange capacity (CEC),Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil physico-chemical quality,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil cation exchange capacity (CEC),Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil physico-chemical quality,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil cation exchange capacity (CEC),Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil physico-chemical quality,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil electrical conductivity,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil electrical conductivity,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil physico-chemical quality,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil electrical conductivity,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil physico-chemical quality,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil erosion control,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil erosion,decrease
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil erosion control,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil erosion,decrease
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil erosion control,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil erosion,decrease
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil Fe2+ ion,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil Fe2+ ion,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil Fe2+ ion,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil K+ ion,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil K+ ion,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil K+ ion,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil Mg2+ ion,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil Mg2+ ion,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil Mg2+ ion,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil Mineral N,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil Mineral N,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Agroforestry practices and systems,10.1007/s11104-023-06385-w,Agroforestry practices (with different tree and crop species),Agroforestry,monoculture,Soil Mineral N,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
